# GLM-5.3 resolved artifact manifest

Model: `zai-org/GLM-5.3`
Revision: `aca966e4e02791568aa6a4ced368624b3d897f42`

`object_id` is the basename of the resolved Hugging Face cache object. The
64-hex LFS object IDs are upstream SHA-256 identifiers; shorter IDs are Git
object identifiers. `bytes` is the resolved object's observed byte length.

filename	object_id	bytes
model-00041-of-00141.safetensors	bb4f9019124dea06e8506081d93ffe0d408dc652a241fe7be89e15fa65ff56de	5361736552
model-00042-of-00141.safetensors	16a7cdda8b21ddbe934b49e9725bed3738c28a350376290e8ca350da60cbadc8	5363339264
model-00043-of-00141.safetensors	3f8bf5154605ddd7c91a6703223626f6e68ff6b14aac6c5ad89ef9fa19106355	5361736416
model-00044-of-00141.safetensors	1d1645412f18a8981c9f03c3cd3ec4df8ca575f3536dd724a6d8d77cb73ffc2c	5366353776
model-00045-of-00141.safetensors	88226cffca5b25d64e81d125a2154ef2860db16a097ff247132c2994a391c516	5361736280
model-00046-of-00141.safetensors	7efae0d6d515af60038c7ea2171acb05c9099df7e73cbe4a3a087f76797b0b40	5366353920
model-00047-of-00141.safetensors	b377da7267118f3590cbdb685a88d41e74de09d0901ea5021140a9a03fa1a83b	5366353496
model-00048-of-00141.safetensors	8dfedd9a4abf51bee77c6beaacaf4d9b661c0916e51ac0a20878642c33cd1cd0	5361736696
model-00049-of-00141.safetensors	5af58c8a00434a589e5cfa021b3241a954d95f10be7af55d6293b9a2bcae7262	5363339104
model-00050-of-00141.safetensors	132bc9c74406179df56901ed9c09f1514e10ff8f9756cb131ecdfcb94ab9f90e	5361736696
model-00051-of-00141.safetensors	c6c2b274fdad88e0d184e197e8c22a6e2d6e8144a56cf4c07859ef93441537da	5366353512
model-00052-of-00141.safetensors	5cb7eaaeca53f382f85e5fbc83eee16715d4aa74bfde3f83bc3acbfd6cce0ade	5361736584
model-00053-of-00141.safetensors	54972554c0094046086eef53261066e499b56caee9019cd9c74a1329ec0bafec	5366353608
model-00054-of-00141.safetensors	03fa148543df5849691f2b5a584037aed449f1732332a685e37075e7f7f2b7dc	5361736448
model-00055-of-00141.safetensors	af95d9f47a6e020a44a534199e1ad3c91c4f9a1ddf25f965f858ff52fd65ac02	5366353744
model-00056-of-00141.safetensors	caa384d78da8bf23f25656b685bfd8f29cc965d7a65c765670d5ef18b3fb5482	5361736312
model-00057-of-00141.safetensors	b12ee91dfcc46d365a578901c766a4ded3aa9b321a25e33b00dbbae54c07efb1	5363339496
model-00058-of-00141.safetensors	168dc3d432871615aac3d455daa5af687d9121f753565cb85f5df7724ffdb96e	5357950744
model-00059-of-00141.safetensors	518e10cc0120019444a2e75bf0a3c893c8f6f4016e9c435b575ded964c2ed9fc	5357552376
model-00060-of-00141.safetensors	feda1de42cc4db6527a39a4af7750aee21ecf93fa56a65c62c54e8472dd40889	5366352776
model-00061-of-00141.safetensors	bf5f4cac36816f52eae3b1d07d3768879e4c1aeaecc6d0f849ccb0e398b73914	5361736696
model-00062-of-00141.safetensors	230563a0ce9ae66456aa5391d9af74090e24a369424b75659c29efd7be949bb3	5366353504
model-00063-of-00141.safetensors	ad9f7f2d988c0b8ab6f04536a89c270a7f4db8dc56d8591cfcbff835af6c0665	5361736624
model-00064-of-00141.safetensors	7adf78e823636b52a9f09a14b1484d435ffd2519985306543c4df97695698df4	5366353576
model-00065-of-00141.safetensors	679c665e9ada075a0c1e14e8b7f89a471f0bca58a4832f6a6cbff6ccf3083218	5361736488
model-00066-of-00141.safetensors	81e07ea3663a2685bb13ff9bc3d333149fe637034bcd3412b01cdc73597e09de	5363339320
model-00067-of-00141.safetensors	4893e7714579294770a3db6a7daceb70723f11e740463cc56f16a4f2feaae589	5361736360
model-00068-of-00141.safetensors	98fc8956ad135293ee7344e5c11ce8744ee5858cb3768ed6f95de676462c650f	5366353848
model-00069-of-00141.safetensors	bee7792fea84123165165ccad4bb7abafcc7965a535b174578f4b91ee26f0373	5361736224
model-00070-of-00141.safetensors	9f61f7fb310c88b55adab398b4b18ffd627bb8a0af29f143ddc9835c8504e244	5366353992
model-00071-of-00141.safetensors	6012dfecf3f6cc81fe59afb1e8f2aec9bf2c5bc0e50d10fabbdc0a9fc9a713b8	5366353488
model-00072-of-00141.safetensors	260db65aac411a6665600dfd7b4f6b4d5d2086aed9edd2230adb82ed09e89cf5	5361736696
model-00073-of-00141.safetensors	8f5e929e820619f80b88751dd497c1e6cd3a0e558a5b08ec3cea4d41be2d9fe2	5363339112
model-00074-of-00141.safetensors	27c1ccde7476d8d49f4a1264f64b182d92f9fe435facdba85f80af648c37e16d	5361736672
model-00075-of-00141.safetensors	fa483d44e064e5a395422fc7dbe73242396c0c381e97cb3f4c15615fd49d5880	5366353528
model-00076-of-00141.safetensors	77cf94357920a99100e5f0a54792696d67d2455276686803c72520405299f62b	5361736528
model-00077-of-00141.safetensors	dfc0832bb33d72c45c914ac83b3e06e2772955b01b897e10576e3aa4ee81d7f8	5366353672
model-00078-of-00141.safetensors	4c536713f0d37728aa4b0c79d05d4140e3041b8799ddf670096f22548d57c446	5361736392
model-00079-of-00141.safetensors	899b86d6f6722fe5e5f7105c0f1dbd3c0573b06a66ff5fa1197401c875e7002a	5366353168
model-00080-of-00141.safetensors	bb9cec7efbc4d7ee8425373e9919fea6695e008d0b1a23260b7e9607e33374cd	5361735408
model-00081-of-00141.safetensors	fa599e07f0d4c751c4d51fe52abd126513ad75c332ef9e8ae20fbeaf37f6217d	5366353872
model-00082-of-00141.safetensors	6dd9121cd2fe7e829ab0c5d17f0ea474abcd624b2f37099be0b2d8aece3cd0a8	5363339104
model-00083-of-00141.safetensors	6c515be1a65433e2c7fd9643d7557367b6e4c40a9e5ba9af7eacfbdf7ebdd12f	5361736696
model-00084-of-00141.safetensors	1d59ac473eeb0dea03dbdb831b2321c2e66fceba1c1d027fcbcf12cf4f8ecafa	5366353496
model-00085-of-00141.safetensors	fdb9c8d5026c422d7f21200ac2d4ed4833a84fb9a356ae6da3050b87adfbed35	5361736696
model-00086-of-00141.safetensors	aaca5f2ddd5ba1c357ddb1a4cae7bfe16320b4cfbb9e6641e737785ffb640422	5366353512
model-00087-of-00141.safetensors	7958dda4bcc991a0a8991073539b0ffa13d71e66beddea6225b68c04793570f4	5361736568
model-00088-of-00141.safetensors	12142bbf24a5ca3a000ef4d96ef61233ce7e3acfeb3e4d7bca1ed6797bcbf1d6	5366353632
model-00089-of-00141.safetensors	dc4e3c065c71de6efb080433a06f42a9eceaf0968329487911d80d5aee30d829	5361736432
model-00090-of-00141.safetensors	5953bca43c6f78a23e1c902baca005807758c2201e834c03be02a1829dc61b3c	5363339376
model-00091-of-00141.safetensors	f6abe4b934d300f01ad5a9e60f82f3031602e97620aa2fb41e8d204c2d427d29	5361736296
model-00092-of-00141.safetensors	4a56f759b41040eab7f9abbd9004d08a494ba2154070e47b7b17b7e75a68c949	5366353904
model-00093-of-00141.safetensors	d8da10c49c13100eac273ffefeac21900d2afbef15634d4775cf49e106c528b4	5366353488
model-00094-of-00141.safetensors	7a3f836bd20ec485d491f7f496375bec4190737dfbd0b23a4837d10bbdaa5910	5361736696
model-00095-of-00141.safetensors	34488a2835586882e346d84f0e7ba8b3d2a3891411a82852d0e0c9ad86c58cac	5366353488
model-00096-of-00141.safetensors	24e80bb3f65509fcbeb791ba61191b1f9d0e6a860ab37dce298d36b2e76f9ef6	5361736696
model-00097-of-00141.safetensors	6faaa6f276cdb682228b357c72b3f7d2e271386a0cfcfd020cf860642a498ae3	5363339112
model-00098-of-00141.safetensors	3f6ba5deab119220eef4c641c0811514b9920dbed97a3416503060efadd393ce	5361736616
model-00099-of-00141.safetensors	3ddd0f31448997249cfe3c63c9d49f8dc148b671124791c34d6fe2b079a9c79a	5366353168
model-00100-of-00141.safetensors	a68b875a8bb2f4353bbf30d9098f894809f12d5ac1166b0be84acee7c2d87229	5361735624
model-00101-of-00141.safetensors	3a5d30bac8311097e97451c796a9d779f2880c5469e61502844b9ea0af543d6f	5363339032
model-00102-of-00141.safetensors	01873cd29e26ded0034727739001f6cb0453a738173ae06c5d4e14323c63b17c	5361736344
model-00103-of-00141.safetensors	628c1817216f5a36c935ba80718011b1bda9547d0a28f90309f7d4ac87ddd0d9	5366353856
